pathway,technology_family,year,trl,availability_fraction,catalyst_lifetime_hours,stack_lifetime_hours,replacement_cost_fraction,performance_degradation_per_year,contingency_fraction,scale_exponent,min_commercial_scale_tco2_per_year,notes,evidence_upgrade_source,evidence_grade
electrolysis_to_formate,electrochemical,2030,5,0.80,0,8000,0.18,0.018,0.28,0.85,30000,"Evidence-upgraded: 2026 MEA formate benchmark reports over 8000 h at 200 mA/cm2, with scale caveat.",data/processed/technology/electro_photo_lifetime_benchmarks.csv,C
electrolysis_to_formate,electrochemical,2040,5,0.86,0,20000,0.14,0.012,0.2,0.85,30000,Optimistic reliability effort case for China 2060; requires demonstrated stack lifetime and manufacturable replacement cost.,data/processed/technology/electro_photo_lifetime_benchmarks.csv,D_scenario_target
electrolysis_to_formate,electrochemical,2050,5,0.9,0,40000,0.09,0.008,0.14,0.85,30000,Optimistic reliability effort case for China 2060; requires demonstrated stack lifetime and manufacturable replacement cost.,data/processed/technology/electro_photo_lifetime_benchmarks.csv,D_scenario_target
electrolysis_to_formate,electrochemical,2060,5,0.92,0,60000,0.07,0.006,0.11,0.85,30000,Optimistic reliability effort case for China 2060; requires demonstrated stack lifetime and manufacturable replacement cost.,data/processed/technology/electro_photo_lifetime_benchmarks.csv,D_scenario_target
electrolysis_to_ethylene,electrochemical,2030,4,0.66,0,720,0.35,0.050,0.45,0.90,30000,Evidence-upgraded: ethylene remains lifetime-limited; month-long stability only at lower current density.,data/processed/technology/electro_photo_lifetime_benchmarks.csv,C
electrolysis_to_ethylene,electrochemical,2040,4,0.76,0,6000,0.25,0.03,0.34,0.90,30000,Optimistic reliability effort case for China 2060; requires demonstrated stack lifetime and manufacturable replacement cost.,data/processed/technology/electro_photo_lifetime_benchmarks.csv,D_scenario_target
electrolysis_to_ethylene,electrochemical,2050,4,0.82,0,16000,0.18,0.02,0.25,0.90,30000,Optimistic reliability effort case for China 2060; requires demonstrated stack lifetime and manufacturable replacement cost.,data/processed/technology/electro_photo_lifetime_benchmarks.csv,D_scenario_target
electrolysis_to_ethylene,electrochemical,2060,4,0.86,0,30000,0.13,0.014,0.2,0.90,30000,Optimistic reliability effort case for China 2060; requires demonstrated stack lifetime and manufacturable replacement cost.,data/processed/technology/electro_photo_lifetime_benchmarks.csv,D_scenario_target
photocatalytic_to_co,photochemical,2030,3,0.55,0,0,0.40,0.070,0.55,0.90,10000,Evidence-upgraded: no bankable long-duration photocatalytic CO lifetime found.,data/processed/technology/electro_photo_lifetime_benchmarks.csv,C
photocatalytic_to_co,photochemical,2040,3,0.68,0,0,0.3,0.045,0.42,0.90,10000,Optimistic reliability effort case for China 2060; requires demonstrated stack lifetime and manufacturable replacement cost.,data/processed/technology/electro_photo_lifetime_benchmarks.csv,D_scenario_target
photocatalytic_to_co,photochemical,2050,3,0.76,0,0,0.22,0.028,0.3,0.90,10000,Optimistic reliability effort case for China 2060; requires demonstrated stack lifetime and manufacturable replacement cost.,data/processed/technology/electro_photo_lifetime_benchmarks.csv,D_scenario_target
photocatalytic_to_co,photochemical,2060,3,0.82,0,0,0.16,0.02,0.24,0.90,10000,Optimistic reliability effort case for China 2060; requires demonstrated stack lifetime and manufacturable replacement cost.,data/processed/technology/electro_photo_lifetime_benchmarks.csv,D_scenario_target
photoelectrochemical_to_formate,photochemical,2030,3,0.58,0,0,0.40,0.070,0.55,0.90,10000,Evidence-upgraded: PEC formate has promising FE but lifetime remains non-bankable.,data/processed/technology/electro_photo_lifetime_benchmarks.csv,C
photoelectrochemical_to_formate,photochemical,2040,3,0.7,0,0,0.28,0.04,0.4,0.90,10000,Optimistic reliability effort case for China 2060; requires demonstrated stack lifetime and manufacturable replacement cost.,data/processed/technology/electro_photo_lifetime_benchmarks.csv,D_scenario_target
photoelectrochemical_to_formate,photochemical,2050,3,0.78,0,0,0.2,0.026,0.29,0.90,10000,Optimistic reliability effort case for China 2060; requires demonstrated stack lifetime and manufacturable replacement cost.,data/processed/technology/electro_photo_lifetime_benchmarks.csv,D_scenario_target
photoelectrochemical_to_formate,photochemical,2060,3,0.84,0,0,0.15,0.018,0.23,0.90,10000,Optimistic reliability effort case for China 2060; requires demonstrated stack lifetime and manufacturable replacement cost.,data/processed/technology/electro_photo_lifetime_benchmarks.csv,D_scenario_target
