year,selector_type,selector,capex_multiplier,fixed_opex_multiplier,variable_opex_multiplier,notes
2040,technology_family,mineralization,0.66,0.78,0.88,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2040,technology_family,thermochemical,0.6,0.74,0.86,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2040,technology_family,electrochemical,0.38,0.56,0.72,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2040,technology_family,photochemical,0.34,0.52,0.7,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2045,all,all,0.72,0.82,0.9,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2045,technology_family,storage,0.7,0.82,0.88,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2045,technology_family,mineralization,0.58,0.72,0.85,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2045,technology_family,thermochemical,0.5,0.66,0.8,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2045,technology_family,electrochemical,0.28,0.46,0.64,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2045,technology_family,photochemical,0.24,0.4,0.6,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2050,all,all,0.66,0.78,0.88,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2050,technology_family,storage,0.66,0.8,0.86,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2050,technology_family,mineralization,0.5,0.66,0.82,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2050,technology_family,thermochemical,0.42,0.58,0.74,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2050,technology_family,electrochemical,0.21,0.36,0.56,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2050,technology_family,photochemical,0.18,0.32,0.52,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2055,all,all,0.6,0.75,0.86,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2055,technology_family,storage,0.62,0.78,0.85,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2055,technology_family,mineralization,0.44,0.6,0.78,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2055,technology_family,thermochemical,0.36,0.52,0.7,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2055,technology_family,electrochemical,0.17,0.3,0.5,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2055,technology_family,photochemical,0.14,0.26,0.46,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2060,all,all,0.56,0.72,0.84,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2060,technology_family,storage,0.6,0.76,0.84,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2060,technology_family,mineralization,0.4,0.56,0.74,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2060,technology_family,thermochemical,0.32,0.46,0.66,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2060,technology_family,electrochemical,0.14,0.25,0.44,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
2060,technology_family,photochemical,0.12,0.22,0.4,Optimistic learning effort scenario. Electrochemical reduction is directionally supported by electrolyser cost-learning evidence but remains a CO2-electrolyzer extrapolation.
